,american_flow,columbia_flow,american_flow_d,columbia_flow_d,american_flow_t,columbia_flow_t,american_flow_s,american_flow_r,columbia_flow_s,columbia_flow_r
1933-01-31,10.7887,24.1,-91.56755676133963,-72.49628991804431,102.35625676133964,96.5962899180443,-88.00662234354937,-3.560934417790264,-82.47777796319376,9.981488045149447
1933-02-28,14.6115,20.81,-87.76707396510989,-75.84438331867574,102.3785739651099,96.65438331867574,-57.342571690176776,-30.42450227493311,-83.62694279239663,7.7825594737208945
1933-03-31,19.6236,22.96,-82.77729116888015,-73.75247671930717,102.40089116888015,96.71247671930718,-12.408874608232752,-70.3684165606474,-81.47396476445662,7.7214880451494565
1933-04-30,21.9739,37.66,-80.44930837265039,-59.110570119938615,102.4232083726504,96.77057011993861,18.19450104513985,-98.64380941779024,-65.90634387937378,6.795773759435164
1933-05-31,28.0054,118.93,-74.44012557642066,22.10133647942996,102.44552557642066,96.82866352057005,46.355548127083885,-120.79567370350455,30.712705577137633,-8.611369097707673
1933-06-30,66.0632,331.31,-36.40464278019091,234.42324307879852,102.4678427801909,96.88675692120148,65.9760237804565,-102.38066656064741,197.24854074793478,37.17470233086374
1933-07-31,113.4373,399.27,10.94714001603883,302.32514967816707,102.49015998396116,96.94485032183292,108.64337800525765,-97.69623798921882,204.42223306158908,97.90291661657798
1933-08-31,162.0007,250.89,59.488222812268575,153.88705627753563,102.51247718773142,97.00294372246435,117.96056437291598,-58.47234156064741,84.81628251810046,69.07077375943517
1933-09-30,156.6771,116.1,54.14230560849832,19.038962876904222,102.53479439150168,97.06103712309577,28.43070431200287,25.71160129649545,-5.775382311102389,24.814345188006612
1933-10-31,17.9246,69.38,-84.63251159527192,-27.739130523727212,102.55711159527192,97.11913052372721,-60.23751646319595,-24.39499513207597,-49.4716899974481,21.73255947372089
1933-11-30,7.0792,52.95,-95.50022879904218,-44.22722392435864,102.57942879904218,97.17722392435864,-79.59720509553763,-15.903023703504545,-69.59192625522239,25.36470233086375
1933-12-31,4.0493,40.21,-98.55244600281243,-57.02531732499008,102.60174600281243,97.23531732499008,-87.96792944216502,-10.584516560647415,-78.8757339415681,21.850416616578023
1934-01-31,11.5816,35.4,-91.0424632065827,-61.893410725621514,102.62406320658269,97.29341072562151,-88.00662234354937,-3.0358408630333287,-82.47777796319376,20.584367237572245
1934-02-28,18.5192,28.88,-84.12718041035295,-68.47150412625295,102.64638041035295,97.35150412625295,-57.342571690176776,-26.784608720176173,-83.62694279239663,15.15543866614368
1934-03-31,53.8586,33.41,-48.81009761412319,-63.999597526884386,102.66869761412319,97.40959752688438,-12.408874608232752,-36.40122300589044,-81.47396476445662,17.47436723757224
1934-04-30,75.8608,102.22,-26.83021481789345,4.752309072484181,102.69101481789345,97.46769092751582,18.19450104513985,-45.0247158630333,-65.90634387937378,70.65865295185796
1934-05-31,89.3963,259.67,-13.317032021663707,162.14421567185275,102.7133320216637,97.52578432814727,46.355548127083885,-59.67258014874759,30.712705577137633,131.43151009471512
1934-06-30,116.2973,390.77,13.561650774566047,293.1861222712213,102.73564922543396,97.5838777287787,65.9760237804565,-52.414373005890454,197.24854074793478,95.9375815232865
